mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
6200,0.996774,0.99871,0.997097,0.996129,0.993226,0.991613,0.985484,0.975161,0.969355,0.960645,0.926452,0.895484,0.830968,0.768387,0.702581,0.681613,0.671935,0.686129,0.675806,0.657742,0.707742,0.696452,0.717097,0.706452,0.711935,0.716129,0.712258,0.681935,0.709355,0.7,0.710645,0.709677,0.715806,0.708065,0.739677,0.718065,0.720645,0.713226,0.733548,0.717419,0.711613,0.70129,0.72129,0.715806,0.697742,0.70129,0.696774,0.688065,0.662581,
6400,0.996875,0.99875,0.997188,0.99625,0.993125,0.991563,0.985625,0.974688,0.969688,0.960625,0.925625,0.894375,0.829688,0.767813,0.7025,0.679375,0.670937,0.685937,0.6775,0.661875,0.706562,0.6975,0.716875,0.70875,0.7125,0.716562,0.71125,0.68125,0.711562,0.7025,0.710313,0.710313,0.718125,0.709688,0.738125,0.718437,0.72125,0.714688,0.733125,0.720313,0.709063,0.702187,0.723125,0.71625,0.700313,0.701562,0.696875,0.6875,0.664687,
6600,0.996667,0.998788,0.997273,0.996364,0.993333,0.991818,0.985152,0.974848,0.969091,0.959091,0.923939,0.893636,0.83,0.767273,0.702424,0.681818,0.667879,0.690909,0.67697,0.663939,0.703939,0.697879,0.719697,0.710606,0.714848,0.718182,0.711212,0.682121,0.714242,0.704848,0.710909,0.709091,0.720303,0.709394,0.737576,0.720606,0.723636,0.713636,0.736364,0.720606,0.707879,0.701515,0.725455,0.717273,0.702424,0.704242,0.698485,0.690303,0.664848,
6800,0.996471,0.998824,0.997353,0.996176,0.992941,0.991471,0.985588,0.974706,0.968235,0.958824,0.923235,0.894412,0.832353,0.767353,0.703235,0.677647,0.664706,0.690294,0.677941,0.667059,0.707059,0.698824,0.718235,0.712941,0.716471,0.717353,0.712059,0.684412,0.716471,0.707059,0.710294,0.707941,0.720588,0.710294,0.74,0.722059,0.723235,0.711765,0.737059,0.719706,0.709412,0.703824,0.722647,0.718529,0.703235,0.704706,0.697059,0.691176,0.667941,
7000,0.996571,0.998857,0.997429,0.996,0.993143,0.991429,0.985714,0.975429,0.967143,0.957143,0.923714,0.894286,0.831429,0.764286,0.703714,0.676286,0.665429,0.690286,0.680857,0.668,0.705429,0.702286,0.718571,0.715143,0.717429,0.718571,0.714286,0.687143,0.714857,0.707714,0.710857,0.710857,0.722,0.709714,0.739143,0.721429,0.724571,0.713429,0.739143,0.720571,0.712286,0.704571,0.722857,0.720857,0.702571,0.705429,0.698571,0.689429,0.670571,
7200,0.996667,0.998889,0.9975,0.995833,0.993333,0.990833,0.985556,0.975556,0.966944,0.956389,0.923333,0.895278,0.831111,0.764722,0.703056,0.676389,0.666389,0.692778,0.683889,0.67,0.705556,0.703333,0.716667,0.714722,0.718056,0.720278,0.715556,0.6875,0.716667,0.708889,0.71,0.709722,0.724444,0.712778,0.739167,0.721111,0.725278,0.711944,0.736667,0.721111,0.711944,0.706389,0.723889,0.721111,0.703333,0.708611,0.698056,0.69,0.67,
7400,0.996757,0.998919,0.997568,0.994865,0.993514,0.990541,0.985946,0.974865,0.966486,0.956486,0.922432,0.892432,0.83027,0.765946,0.701622,0.675676,0.667027,0.694054,0.684054,0.66973,0.705405,0.704595,0.718649,0.715946,0.716757,0.718108,0.717838,0.689459,0.716757,0.71,0.709189,0.710541,0.723784,0.712432,0.737568,0.720811,0.728108,0.713784,0.736757,0.719189,0.711892,0.705676,0.724054,0.722162,0.704865,0.710541,0.699189,0.69027,0.66973,
7600,0.996842,0.998947,0.997632,0.995,0.993158,0.990263,0.985526,0.975263,0.967105,0.955789,0.921316,0.893947,0.829474,0.766842,0.700526,0.673421,0.665526,0.692105,0.684737,0.672105,0.707368,0.704474,0.718684,0.717105,0.717368,0.719737,0.720789,0.690789,0.717368,0.71,0.706842,0.713947,0.722105,0.713158,0.738158,0.717368,0.727632,0.714211,0.737368,0.718158,0.713684,0.706579,0.726053,0.721316,0.708947,0.711842,0.699474,0.690526,0.669211,
7800,0.996667,0.998974,0.997692,0.995128,0.993333,0.99,0.984872,0.975641,0.966923,0.955641,0.919744,0.891795,0.829231,0.765897,0.703333,0.673333,0.667692,0.691538,0.685385,0.675128,0.709744,0.704872,0.719744,0.71641,0.717179,0.72,0.722564,0.691282,0.720256,0.709744,0.708462,0.714359,0.721026,0.715897,0.737436,0.718205,0.729231,0.71359,0.737949,0.720513,0.715641,0.707692,0.72641,0.720513,0.710513,0.713846,0.700256,0.689744,0.668974,
8000,0.99675,0.999,0.99775,0.99525,0.993,0.989,0.985,0.97575,0.9675,0.95525,0.919,0.89,0.82975,0.76775,0.70525,0.67225,0.66975,0.692,0.687,0.67725,0.711,0.707,0.72125,0.71725,0.71725,0.71875,0.72225,0.6915,0.719,0.70775,0.70975,0.71525,0.7235,0.71725,0.73675,0.71975,0.73075,0.71525,0.73975,0.7225,0.7165,0.708,0.7265,0.71875,0.71275,0.71175,0.701,0.691,0.67025,
