mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
4800,0.996667,0.998333,0.996667,0.997083,0.994583,0.9925,0.989583,0.97875,0.96625,0.945417,0.922083,0.889583,0.8425,0.784167,0.68375,0.677083,0.667917,0.673333,0.684167,0.70125,0.654583,0.69125,0.6725,0.65375,0.66625,0.688333,0.686667,0.7,0.680417,0.66,0.68875,0.699583,0.68,0.689583,0.698333,0.699583,0.717917,0.6875,0.692917,0.706667,0.69375,0.70625,0.720417,0.701667,0.713333,0.690833,0.685417,0.663333,0.6475,
5000,0.9968,0.9984,0.9968,0.9968,0.9944,0.9928,0.9884,0.9796,0.9668,0.9464,0.9232,0.8852,0.844,0.7808,0.6856,0.6788,0.6672,0.6776,0.6832,0.7012,0.6552,0.6928,0.6756,0.6572,0.6704,0.6892,0.6888,0.6988,0.6836,0.6632,0.6908,0.7008,0.6804,0.692,0.6996,0.7004,0.7196,0.6916,0.6928,0.7052,0.6916,0.7076,0.7208,0.704,0.7172,0.6928,0.6868,0.6672,0.6496,
5200,0.996538,0.998462,0.996923,0.996923,0.994231,0.993077,0.988846,0.979615,0.966923,0.945,0.921538,0.884615,0.842692,0.778846,0.686538,0.675769,0.671154,0.677308,0.684231,0.703077,0.66,0.696923,0.680385,0.660769,0.673077,0.691538,0.690769,0.7,0.685769,0.668077,0.688077,0.702308,0.68,0.695,0.705769,0.702308,0.720385,0.692692,0.69,0.706923,0.691154,0.711538,0.72,0.704615,0.715769,0.695385,0.689231,0.670385,0.650385,
5400,0.996667,0.998148,0.996667,0.997037,0.994444,0.993333,0.988889,0.978519,0.966667,0.945185,0.92,0.882593,0.841481,0.778889,0.685926,0.672593,0.673704,0.681481,0.69037,0.705185,0.664815,0.695185,0.684074,0.66037,0.673333,0.693333,0.690741,0.702222,0.685556,0.67037,0.692222,0.698519,0.683704,0.695926,0.708889,0.705185,0.719259,0.691852,0.692593,0.71,0.693333,0.712593,0.721111,0.706296,0.714444,0.697407,0.692963,0.672593,0.654074,
5600,0.996786,0.998214,0.996429,0.996786,0.993571,0.993571,0.988571,0.978929,0.967857,0.947143,0.92,0.883214,0.842857,0.775714,0.686429,0.67,0.6725,0.682857,0.693571,0.705357,0.668214,0.695,0.681786,0.665714,0.6775,0.696071,0.692857,0.702857,0.688214,0.670714,0.6925,0.700714,0.6875,0.697143,0.704286,0.7075,0.721786,0.692143,0.695,0.706786,0.6975,0.712143,0.723571,0.704643,0.716071,0.697857,0.695357,0.670357,0.6575,
5800,0.996897,0.998276,0.996207,0.996552,0.993448,0.992414,0.988276,0.97931,0.967241,0.947241,0.918621,0.882759,0.843793,0.772414,0.687241,0.671379,0.675862,0.685517,0.693793,0.709655,0.672069,0.694138,0.682759,0.667931,0.678621,0.698966,0.692759,0.704828,0.690345,0.670345,0.692414,0.70069,0.691724,0.698966,0.704138,0.707931,0.722759,0.694828,0.697241,0.709655,0.7,0.715517,0.723103,0.704828,0.717586,0.700345,0.698621,0.675517,0.658276,
6000,0.997,0.998333,0.996333,0.996667,0.993667,0.992333,0.987667,0.979333,0.967,0.947667,0.917667,0.883,0.844,0.772,0.688333,0.672333,0.674333,0.683,0.691667,0.711333,0.674667,0.695667,0.682,0.672,0.680667,0.702,0.694333,0.705333,0.693667,0.674333,0.693,0.702333,0.694667,0.702,0.707333,0.708667,0.724667,0.695,0.698667,0.706333,0.701,0.715,0.725667,0.705,0.717667,0.701667,0.699667,0.678667,0.661,
6200,0.997097,0.998065,0.996452,0.996774,0.993871,0.992258,0.987097,0.979677,0.966774,0.946129,0.91871,0.882581,0.843226,0.773226,0.685806,0.673548,0.678387,0.681613,0.694194,0.707419,0.675161,0.695484,0.683226,0.675161,0.685806,0.703548,0.695484,0.704839,0.693226,0.675806,0.694516,0.703548,0.695161,0.704194,0.70871,0.709677,0.720968,0.697097,0.70129,0.70871,0.705484,0.714516,0.725161,0.707419,0.718065,0.701613,0.702581,0.679677,0.66129,
6400,0.997188,0.998125,0.996563,0.996563,0.994062,0.9925,0.9875,0.979688,0.966875,0.946562,0.917188,0.881875,0.842187,0.775937,0.68375,0.6725,0.677188,0.682813,0.6925,0.705,0.6775,0.695312,0.686562,0.679688,0.688125,0.705625,0.696562,0.705625,0.692813,0.676562,0.694063,0.704375,0.698125,0.704063,0.709063,0.709063,0.7225,0.699688,0.698125,0.709375,0.706875,0.714688,0.727187,0.709375,0.72125,0.70125,0.704063,0.683125,0.660625,
6600,0.997273,0.998182,0.996061,0.996061,0.993939,0.992424,0.987273,0.980303,0.967576,0.94697,0.917576,0.883333,0.841818,0.774545,0.685758,0.666667,0.677576,0.682424,0.692424,0.706364,0.679697,0.700606,0.69,0.679394,0.688182,0.706061,0.696364,0.705455,0.69303,0.678182,0.694242,0.705152,0.7,0.704848,0.712424,0.709697,0.724848,0.701818,0.7,0.711212,0.705152,0.716364,0.724848,0.710606,0.720909,0.70303,0.70697,0.68,0.662727,
6800,0.997353,0.998235,0.995588,0.996176,0.994118,0.992353,0.987353,0.98,0.967647,0.947059,0.917941,0.883235,0.843824,0.774118,0.688824,0.665588,0.675294,0.681765,0.690882,0.705882,0.678529,0.701176,0.690588,0.680588,0.689118,0.708824,0.694706,0.705294,0.695294,0.682059,0.696765,0.708235,0.702941,0.705882,0.716471,0.712647,0.723235,0.701765,0.7,0.712059,0.706765,0.718235,0.726176,0.713235,0.721176,0.705588,0.707059,0.680588,0.664412,
7000,0.997429,0.998286,0.995429,0.996,0.993714,0.992571,0.986286,0.980286,0.968571,0.946571,0.918571,0.883714,0.844857,0.775143,0.690571,0.661143,0.676571,0.680286,0.691143,0.706571,0.682286,0.702286,0.693714,0.682571,0.688,0.709714,0.693714,0.706,0.697429,0.684857,0.698857,0.706,0.702857,0.706286,0.718,0.713429,0.724857,0.703143,0.701429,0.710857,0.705714,0.717143,0.729714,0.716286,0.720571,0.706,0.706,0.682857,0.664286,
