mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
200,0.0638401,0.0630438,0.0637503,0.0596311,0.0653547,0.0677306,0.0626287,0.068072,0.056126,0.0647271,0.0655033,0.0665204,0.0673684,0.0663696,0.0642386,0.0619495,0.0639492,0.0624566,0.0570128,0.0581803,0.0448304,0.04631,0.028984,0.023757,0.024843,0.0211088,0.0205356,0.0180498,0.0194596,0.0198097,0.0197897,0.0190117,0.017694,0.0158695,0.0147428,0.0144934,0.0145315,0.0111044,0.0112891,0.0111808,0.011034,0.010793,0.0106482,0.0102146,0.010185,0.0100211,0.0101799,0.010067,0.00988415,0.00930362,
210,0.0677292,0.0635972,0.0676004,0.0543399,0.0634774,0.0648995,0.0665952,0.0667768,0.066457,0.064293,0.0628928,0.0634511,0.0623482,0.0641123,0.0641866,0.058935,0.0625845,0.0561694,0.0573291,0.0655919,0.0455672,0.0376804,0.0244511,0.0201091,0.0213514,0.0190749,0.0205356,0.0197575,0.0195696,0.0184837,0.0179464,0.0174528,0.0168752,0.0155016,0.0147428,0.0142572,0.0142266,0.011045,0.0109315,0.010672,0.0106266,0.010637,0.0104358,0.0100452,0.0100559,0.01003,0.0100076,0.00992641,0.00984716,0.00930354,
220,0.0643727,0.0664019,0.0669031,0.0662519,0.0653,0.0637475,0.0629298,0.0623478,0.0642109,0.0636055,0.0626496,0.0631827,0.0686024,0.0673316,0.0649951,0.0624063,0.053933,0.0593624,0.058381,0.0566584,0.0428572,0.0381782,0.0239731,0.0212089,0.0194558,0.0190904,0.019001,0.0188517,0.0147623,0.0184364,0.0177513,0.0168013,0.0167612,0.0153642,0.0144173,0.0142572,0.0142245,0.0109256,0.0106793,0.0105619,0.010559,0.010516,0.0102281,0.0099009,0.0099355,0.0098646,0.00988205,0.00987026,0.00978904,0.00930135,
230,0.0638493,0.0619351,0.0621848,0.0643603,0.0640441,0.0620701,0.0630075,0.06805,0.0674576,0.0636327,0.0641904,0.0629838,0.0664736,0.0670408,0.0665863,0.0586484,0.0558427,0.0584503,0.0524479,0.0660008,0.0418514,0.0373683,0.0235343,0.0208046,0.0190106,0.0190126,0.0177666,0.0184547,0.0183772,0.0173261,0.0167892,0.0163639,0.0152176,0.0131643,0.0138795,0.0140313,0.0137173,0.0106158,0.0105516,0.01041,0.0102913,0.0100425,0.00988971,0.00987856,0.00978144,0.00984476,0.00980978,0.00976114,0.0097412,0.00927906,
240,0.061247,0.0633988,0.0683376,0.0675447,0.0628163,0.0629214,0.0639425,0.067073,0.0669893,0.0668424,0.0580308,0.063383,0.0599182,0.0610897,0.0662974,0.0614252,0.0633723,0.0634402,0.0493614,0.0558835,0.0410998,0.0337516,0.0233739,0.0204478,0.0187792,0.0186074,0.0183202,0.0176255,0.0173637,0.0169423,0.0158277,0.0153907,0.0147592,0.0136556,0.0136184,0.0133619,0.0105941,0.0102069,0.0101035,0.0102264,0.0102067,0.00984616,0.00979531,0.00975355,0.00975057,0.00970702,0.00967973,0.00965924,0.00966939,0.00926761,
250,0.0635243,0.0637853,0.067194,0.0665538,0.0666922,0.0594089,0.064118,0.0595737,0.0615494,0.0661861,0.060591,0.0634258,0.063162,0.06823,0.0674079,0.060813,0.0619264,0.061452,0.0570671,0.0501988,0.0422421,0.030309,0.0238638,0.0203864,0.0182832,0.0182696,0.0180242,0.0171643,0.0167494,0.0168094,0.0153907,0.0154359,0.0147408,0.0135315,0.0133993,0.0132043,0.0105051,0.0097432,0.00982464,0.00946448,0.00959492,0.00943885,0.00962932,0.00963205,0.00956267,0.00959266,0.00960628,0.00955011,0.00956108,0.0092426,
260,0.0604508,0.0648328,0.0599379,0.0617201,0.0666236,0.0607953,0.0640476,0.0626508,0.068295,0.0674862,0.0612591,0.0621163,0.0621131,0.0642472,0.0669398,0.0665724,0.0637913,0.0556434,0.0669186,0.0515064,0.0407166,0.0297958,0.0240328,0.0199897,0.018074,0.0184119,0.0179323,0.0168617,0.0165913,0.0156498,0.0151318,0.0141211,0.0135773,0.0132823,0.0132043,0.012671,0.00959939,0.00957627,0.00959492,0.00947454,0.00910607,0.00949959,0.00912044,0.00955179,0.00951119,0.00927855,0.00954203,0.00943502,0.0095303,0.00923347,
270,0.0668585,0.0637028,0.0599199,0.0677711,0.0678932,0.0623392,0.06212,0.0628727,0.0641903,0.0664843,0.0663136,0.0627513,0.0571376,0.0677216,0.0642688,0.0609849,0.0607709,0.0637078,0.0611963,0.0523875,0.0415413,0.0235716,0.0229263,0.0200588,0.0177701,0.0184062,0.017512,0.0163669,0.016135,0.015594,0.0146695,0.0134279,0.0132459,0.0128983,0.0129076,0.011642,0.0093826,0.00939065,0.00953953,0.00930571,0.00950515,0.00872407,0.0093478,0.00866159,0.00935486,0.00942983,0.00898578,0.00925259,0.00900799,0.00921454,
280,0.0615314,0.0607152,0.0626034,0.0646083,0.0660694,0.0663203,0.0624343,0.0551982,0.0678484,0.0645632,0.0669863,0.0612303,0.0639596,0.0596348,0.0603452,0.0643369,0.0681203,0.0674414,0.062051,0.0532467,0.0376657,0.0237915,0.023046,0.0202269,0.0176406,0.0171618,0.0160593,0.0162562,0.015594,0.0146041,0.0140529,0.0125098,0.0125985,0.0123293,0.0124327,0.0104403,0.00949817,0.00907349,0.00920645,0.0083169,0.00927817,0.00797513,0.0091456,0.00852148,0.0092131,0.00866033,0.00898497,0.00864935,0.00897499,0.00856921,
290,0.0651339,0.0628953,0.0570051,0.0672646,0.0647848,0.0665041,0.0614579,0.0636916,0.0618443,0.0599903,0.0643765,0.068418,0.0675033,0.0636672,0.0600432,0.0606308,0.0621607,0.0645624,0.0658335,0.0536462,0.0359108,0.0242752,0.0231696,0.0209142,0.0175845,0.0161097,0.0163824,0.0159126,0.0147913,0.0139754,0.0136766,0.0121958,0.0122568,0.0119966,0.0119126,0.0100671,0.00880828,0.00844561,0.00868754,0.00874621,0.00804527,0.00893621,0.00858108,0.0088912,0.00819444,0.00863378,0.00790173,0.00862144,0.00845622,0.00855529,
300,0.0660282,0.0614504,0.0635124,0.0601155,0.0603249,0.0647753,0.0684937,0.0676512,0.064585,0.063631,0.0598315,0.0637372,0.0638182,0.0654492,0.065088,0.0672253,0.0648722,0.0583531,0.0601584,0.0485191,0.0327486,0.0245326,0.0230923,0.0197236,0.0163031,0.0156728,0.0156775,0.015263,0.0132256,0.0135285,0.0132906,0.0120741,0.0118918,0.0112778,0.0110418,0.00852164,0.00794601,0.0083194,0.00886693,0.00781738,0.00839638,0.0080958,0.00855103,0.00757253,0.00855223,0.00792229,0.00851528,0.00842148,0.00815023,0.00789432,
310,0.0649909,0.06896,0.0677947,0.0649663,0.0642689,0.0585127,0.0631869,0.0627717,0.064862,0.0657085,0.0669112,0.0645923,0.0578473,0.0615533,0.0658027,0.0629428,0.0608271,0.0603816,0.0582342,0.0474063,0.0282762,0.0227082,0.0227035,0.0193282,0.0161174,0.0153772,0.0146802,0.0148823,0.0130666,0.01226,0.0119749,0.0112376,0.0115054,0.0104535,0.0101573,0.00811749,0.00823381,0.00852486,0.00803335,0.00810545,0.00805303,0.00829065,0.00761404,0.00826876,0.00777639,0.00809247,0.00806633,0.00790705,0.00753603,0.00788414,
320,0.057351,0.0638996,0.0637408,0.0642115,0.0655458,0.0669696,0.0632657,0.0651661,0.0624369,0.0656141,0.0685516,0.0633482,0.0633644,0.061535,0.0582011,0.0584046,0.0677836,0.0616409,0.0642504,0.045647,0.0314878,0.0226257,0.0227168,0.0186969,0.0156183,0.0138724,0.0139862,0.0131963,0.0128169,0.0122828,0.0118618,0.0114602,0.0106542,0.00965426,0.00970589,0.00842914,0.00767701,0.00720291,0.0077335,0.00785753,0.00784172,0.00777281,0.00805357,0.00760587,0.00787915,0.00771549,0.00787163,0.00754769,0.00773265,0.00752048,
330,0.0667764,0.0638135,0.0656784,0.0616974,0.0659424,0.0681889,0.0620492,0.0633041,0.0616789,0.0650642,0.0551141,0.0682849,0.0644732,0.0634948,0.0633818,0.0609033,0.064382,0.0587126,0.0568497,0.0480283,0.0252864,0.0217146,0.0229839,0.0178461,0.015067,0.0137011,0.0137086,0.0123398,0.0118473,0.0109501,0.0109803,0.0105502,0.00963383,0.00904065,0.00808622,0.00773554,0.00758341,0.00761665,0.00745558,0.00750942,0.00667673,0.00783286,0.00666454,0.00768546,0.00716752,0.00767034,0.00760251,0.00757873,0.00751922,0.00749979,
340,0.0686945,0.0625831,0.0636868,0.0611254,0.064823,0.0642824,0.068604,0.0643449,0.0614026,0.0635055,0.0618665,0.0639213,0.0521253,0.0578921,0.0675857,0.0655149,0.0611977,0.0662845,0.0582533,0.0479879,0.0233173,0.0212007,0.0166792,0.0169518,0.013176,0.0129963,0.0126773,0.0116211,0.0111476,0.0104344,0.00963302,0.00918026,0.00916438,0.00896859,0.00756085,0.00708507,0.00730205,0.00713018,0.00742044,0.00693802,0.00760279,0.00717873,0.00749516,0.00729102,0.00740693,0.00660994,0.00751234,0.00661926,0.00749227,0.00716088,
350,0.0640925,0.0682454,0.0640301,0.0614226,0.0627243,0.0621006,0.0649388,0.0520581,0.0596668,0.0676898,0.0656387,0.0637959,0.066272,0.0689542,0.0599485,0.0625783,0.0587571,0.0564645,0.0649201,0.0436448,0.0206097,0.0230072,0.0159547,0.0128113,0.0127778,0.012925,0.0123411,0.0115291,0.0103424,0.0103876,0.00934642,0.00888068,0.00848474,0.00801342,0.00756163,0.00734272,0.00624464,0.00729278,0.00660557,0.00716596,0.00687303,0.00745702,0.00708969,0.00738429,0.00665932,0.00722138,0.00713744,0.0071419,0.00660915,0.00660119,
