mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
4800,0.9975,0.997917,0.9975,0.995417,0.992917,0.99,0.983333,0.975417,0.972917,0.951667,0.919583,0.894583,0.852083,0.787083,0.711667,0.672083,0.627083,0.64,0.64875,0.694167,0.68625,0.68125,0.677917,0.683333,0.6825,0.685833,0.664167,0.675833,0.69625,0.711667,0.6975,0.7,0.707083,0.72375,0.712917,0.697917,0.704167,0.709167,0.707083,0.720833,0.712083,0.701667,0.73375,0.73875,0.7175,0.709583,0.685,0.671667,0.670417,
5000,0.9976,0.9976,0.9976,0.9952,0.9932,0.9904,0.9832,0.9748,0.9728,0.9524,0.92,0.8948,0.8504,0.7832,0.71,0.672,0.6296,0.6432,0.6528,0.694,0.6844,0.6816,0.6812,0.6868,0.6848,0.6848,0.668,0.6788,0.6972,0.7124,0.7012,0.7004,0.7052,0.7292,0.716,0.6988,0.7048,0.7088,0.708,0.7204,0.7132,0.7028,0.7328,0.738,0.7148,0.712,0.6872,0.6728,0.672,
5200,0.997308,0.997692,0.997692,0.995385,0.993462,0.990769,0.983846,0.975385,0.971538,0.952308,0.920385,0.893846,0.849231,0.783077,0.708077,0.67,0.631538,0.645769,0.656154,0.69,0.687308,0.686154,0.686154,0.687308,0.687692,0.689231,0.673462,0.681538,0.701154,0.715769,0.700769,0.701923,0.704615,0.732308,0.715769,0.698462,0.707308,0.711538,0.708077,0.721538,0.715,0.702308,0.730769,0.736154,0.717692,0.711923,0.689615,0.675769,0.675385,
5400,0.997037,0.997778,0.997407,0.995556,0.992963,0.990741,0.984444,0.974815,0.971111,0.951481,0.920741,0.893333,0.845926,0.784074,0.707407,0.670741,0.632963,0.646296,0.659259,0.687407,0.685556,0.690741,0.69,0.691111,0.687407,0.691481,0.674444,0.684444,0.705556,0.717778,0.703704,0.699259,0.706667,0.731111,0.719259,0.698889,0.708148,0.711481,0.708519,0.722963,0.717037,0.703704,0.727037,0.736296,0.718519,0.712593,0.691852,0.681481,0.677037,
5600,0.997143,0.997857,0.9975,0.995714,0.993214,0.990357,0.984286,0.975,0.97,0.951786,0.920714,0.89,0.8475,0.7825,0.706071,0.668214,0.633929,0.649286,0.660357,0.688571,0.689286,0.691429,0.691071,0.694643,0.688929,0.694286,0.6775,0.683929,0.7075,0.717857,0.705714,0.696786,0.706071,0.731429,0.719286,0.701429,0.710714,0.7125,0.712143,0.724643,0.716429,0.703571,0.725714,0.733571,0.721786,0.713571,0.697857,0.683929,0.677857,
5800,0.996897,0.997586,0.997586,0.995862,0.993448,0.990345,0.984828,0.975517,0.969655,0.95069,0.921034,0.889655,0.845172,0.78,0.706207,0.671034,0.635172,0.65069,0.659655,0.680345,0.692069,0.692069,0.694483,0.696552,0.691724,0.696552,0.68,0.684483,0.708276,0.717931,0.705517,0.696207,0.706552,0.729655,0.719655,0.704483,0.711034,0.712759,0.713793,0.724138,0.715172,0.704138,0.727586,0.734483,0.721034,0.713448,0.699655,0.686552,0.678621,
6000,0.997,0.997667,0.997667,0.996,0.993667,0.989667,0.984333,0.976333,0.969667,0.949667,0.922667,0.887333,0.844333,0.780333,0.702333,0.667667,0.639333,0.649667,0.662333,0.681333,0.695,0.693333,0.697,0.699,0.693333,0.697667,0.682333,0.686333,0.707667,0.720667,0.708667,0.694667,0.707333,0.730667,0.721,0.705333,0.712667,0.713667,0.717,0.725667,0.715,0.705,0.727,0.735333,0.723667,0.712667,0.700333,0.69,0.681,
6200,0.996774,0.997742,0.997419,0.996129,0.993871,0.989355,0.984194,0.976129,0.969032,0.94871,0.92129,0.887097,0.842903,0.78,0.700645,0.67,0.640323,0.65129,0.662903,0.684516,0.690968,0.697097,0.698065,0.700968,0.694194,0.698065,0.685484,0.689032,0.708065,0.72,0.710968,0.693548,0.706774,0.72871,0.721613,0.706129,0.713226,0.714516,0.716129,0.724516,0.717097,0.706452,0.729677,0.737097,0.726774,0.713548,0.704194,0.691613,0.676452,
6400,0.99625,0.997812,0.997188,0.995938,0.994062,0.989062,0.984062,0.975938,0.96875,0.949375,0.920312,0.885625,0.842812,0.776875,0.7025,0.669063,0.645,0.6525,0.665625,0.68375,0.690625,0.695937,0.7,0.701875,0.693438,0.699375,0.688125,0.690625,0.710625,0.720313,0.71125,0.695625,0.709688,0.731563,0.723437,0.707187,0.710625,0.71625,0.719375,0.722812,0.714063,0.709063,0.731563,0.73875,0.727812,0.714063,0.705313,0.693125,0.676562,
6600,0.996364,0.997879,0.997273,0.995758,0.993939,0.989091,0.983939,0.975758,0.967273,0.947879,0.920606,0.883939,0.840606,0.777879,0.703636,0.669697,0.648182,0.652424,0.666061,0.682424,0.692424,0.698788,0.698182,0.70303,0.692424,0.699697,0.688788,0.693939,0.710909,0.721818,0.713636,0.697273,0.710606,0.732121,0.725152,0.708182,0.708788,0.717879,0.72,0.724242,0.714242,0.710606,0.73303,0.736667,0.726364,0.714242,0.704242,0.694848,0.679394,
6800,0.996471,0.997941,0.997353,0.995882,0.993824,0.989118,0.984118,0.975,0.965882,0.947941,0.920588,0.883824,0.841471,0.778235,0.702059,0.67,0.65,0.658235,0.666765,0.684412,0.694412,0.696765,0.699706,0.705294,0.693235,0.700588,0.686176,0.694706,0.711176,0.721176,0.716176,0.697059,0.711471,0.732059,0.722353,0.708824,0.708235,0.72,0.720882,0.726471,0.718529,0.705588,0.732941,0.737647,0.73,0.715588,0.706176,0.697941,0.679706,
7000,0.996571,0.998,0.997429,0.996,0.993714,0.989429,0.984571,0.974857,0.966286,0.946857,0.919429,0.885143,0.84,0.775714,0.699714,0.667714,0.650857,0.658571,0.668,0.685714,0.695143,0.699429,0.702857,0.706,0.695714,0.703143,0.688571,0.695714,0.711714,0.721143,0.716286,0.699143,0.714571,0.731429,0.723429,0.71,0.710571,0.718,0.72,0.728,0.717714,0.704571,0.732857,0.738286,0.731429,0.714,0.707429,0.696571,0.677143,
7200,0.996667,0.998056,0.9975,0.995833,0.993889,0.988889,0.984722,0.974167,0.965556,0.946667,0.918611,0.885556,0.838611,0.772222,0.700556,0.671111,0.651667,0.659722,0.668056,0.6875,0.694167,0.698889,0.703889,0.708056,0.697778,0.704444,0.689444,0.697778,0.711667,0.720833,0.715833,0.701667,0.715278,0.731944,0.724444,0.708611,0.710833,0.719722,0.721667,0.728056,0.719722,0.706667,0.733056,0.735556,0.731944,0.715,0.709167,0.697222,0.6775,
7400,0.996757,0.998108,0.997568,0.995676,0.994054,0.989189,0.984865,0.974324,0.965135,0.946486,0.918108,0.885405,0.837838,0.771892,0.701892,0.668919,0.653243,0.656486,0.668649,0.687297,0.696216,0.701081,0.706757,0.708649,0.69973,0.704865,0.690541,0.698919,0.710541,0.721892,0.717838,0.702162,0.716757,0.733243,0.723514,0.708108,0.712162,0.718919,0.719459,0.729189,0.721351,0.708108,0.734054,0.734054,0.731892,0.716216,0.709459,0.698108,0.679189,
