noise,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
0.0316228,2492,0.99656,0.99804,0.99752,0.99504,0.993,0.98708,0.98292,0.97368,0.9608,0.94172,0.91012,0.87372,0.81748,0.74616,0.68964,0.66892,0.68192,0.69676,0.70992,0.7208,0.72468,0.72908,0.73328,0.73364,0.73288,0.7414,0.74332,0.7444,0.73776,0.745,0.74076,0.74084,0.743,0.74024,0.74076,0.74072,0.7404,0.73304,0.7418,0.74056,0.73952,0.73424,0.73964,0.74,0.73572,0.73376,0.73644,0.7336,0.71388,
0.0316228,2493,0.99596,0.99776,0.9968,0.99552,0.99292,0.98932,0.98508,0.9754,0.96008,0.94456,0.90828,0.87092,0.81276,0.74868,0.69888,0.67244,0.672,0.69292,0.70464,0.71848,0.72432,0.73636,0.74096,0.73732,0.72948,0.73468,0.73796,0.73676,0.74724,0.73868,0.744,0.73852,0.73924,0.74764,0.74584,0.73896,0.74168,0.73752,0.74264,0.74256,0.74252,0.7406,0.7368,0.73552,0.74012,0.7342,0.73412,0.72928,0.71348,
0.0316228,2494,0.99508,0.99756,0.99648,0.99552,0.99296,0.988,0.98344,0.9744,0.9596,0.94088,0.91184,0.86832,0.81236,0.74468,0.69184,0.66372,0.6854,0.69412,0.71348,0.71768,0.72544,0.73636,0.73472,0.73708,0.7414,0.73932,0.74276,0.73656,0.74164,0.73756,0.73492,0.73288,0.74524,0.73856,0.74064,0.73504,0.74076,0.73536,0.74316,0.74336,0.74536,0.73936,0.74168,0.73468,0.73656,0.73348,0.73232,0.72692,0.71216,
0.0316228,2495,0.99536,0.99784,0.996,0.99512,0.99292,0.98888,0.98196,0.97388,0.96352,0.94292,0.91632,0.8702,0.81388,0.75136,0.68868,0.67284,0.68344,0.70092,0.70988,0.71996,0.7232,0.73284,0.7416,0.734,0.7388,0.73744,0.73604,0.73948,0.73892,0.74348,0.74264,0.7386,0.7418,0.74184,0.73668,0.72908,0.73756,0.74088,0.7378,0.74452,0.73536,0.74092,0.74028,0.74012,0.7354,0.73764,0.7306,0.72528,0.70952,
0.0316228,2496,0.99644,0.99808,0.9966,0.99516,0.99344,0.98904,0.98392,0.97496,0.96236,0.94264,0.91388,0.87216,0.81816,0.74984,0.69004,0.67188,0.68212,0.69296,0.70392,0.72068,0.72492,0.73156,0.7374,0.74008,0.7366,0.74088,0.73976,0.7378,0.73656,0.73708,0.73772,0.73684,0.73752,0.73996,0.73852,0.74364,0.7378,0.74732,0.73996,0.73996,0.74468,0.74544,0.738,0.73624,0.73916,0.7386,0.72936,0.73152,0.7128,
0.0316228,2497,0.99608,0.99784,0.99704,0.99504,0.99308,0.98852,0.9848,0.97452,0.96012,0.94244,0.90836,0.87152,0.8172,0.74472,0.69148,0.67192,0.67864,0.69376,0.71356,0.72096,0.72696,0.72696,0.73628,0.7352,0.73604,0.744,0.73916,0.73768,0.73808,0.7438,0.73968,0.7344,0.74192,0.7416,0.73704,0.74036,0.74596,0.73944,0.74268,0.743,0.74488,0.7382,0.73752,0.74,0.73964,0.73544,0.73284,0.72516,0.70744,
0.0316228,2498,0.99604,0.99812,0.99732,0.99472,0.99248,0.98872,0.98344,0.97496,0.96332,0.93908,0.9122,0.87004,0.81472,0.75416,0.69976,0.6706,0.67688,0.69396,0.70804,0.71944,0.72744,0.73512,0.736,0.73484,0.7424,0.74032,0.74188,0.73512,0.7368,0.73904,0.7352,0.74788,0.73996,0.74136,0.73716,0.74112,0.73964,0.73632,0.74568,0.74496,0.73752,0.7416,0.7378,0.73748,0.74304,0.7384,0.737,0.72852,0.71332,
0.0316228,2499,0.99596,0.99768,0.99768,0.99576,0.993,0.98904,0.98368,0.97424,0.96248,0.94404,0.91192,0.8702,0.81092,0.7466,0.69244,0.66796,0.68672,0.69524,0.71032,0.72144,0.72724,0.72964,0.7328,0.7334,0.73572,0.74092,0.7354,0.7428,0.74144,0.7356,0.74024,0.7456,0.73524,0.73764,0.74492,0.73928,0.74176,0.74148,0.742,0.73972,0.7414,0.74004,0.73768,0.74136,0.73896,0.7346,0.7358,0.72724,0.71448,
0.0316228,2500,0.99592,0.99744,0.9966,0.99528,0.99368,0.98888,0.98488,0.97576,0.9614,0.94124,0.9084,0.86924,0.81256,0.74376,0.68056,0.6726,0.68292,0.69364,0.71288,0.72196,0.73064,0.72628,0.7298,0.73532,0.73212,0.73964,0.73324,0.73972,0.74208,0.74,0.74872,0.73428,0.74156,0.74388,0.74296,0.7386,0.737,0.73884,0.74012,0.73676,0.74148,0.7342,0.7438,0.74392,0.74248,0.73196,0.72996,0.72704,0.71268,
0.0316228,2501,0.99572,0.99836,0.99652,0.99536,0.993,0.9898,0.9844,0.97488,0.96264,0.94264,0.91332,0.87032,0.81668,0.74288,0.68744,0.6702,0.67684,0.69992,0.70888,0.71788,0.72324,0.73052,0.74012,0.73868,0.74216,0.73684,0.73556,0.7378,0.73832,0.73968,0.7418,0.73628,0.73592,0.74424,0.74108,0.73496,0.74168,0.74344,0.73548,0.73904,0.73612,0.73964,0.73964,0.74356,0.74384,0.73892,0.72908,0.72024,0.71816,
