oscillator_number,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
100,1250,0.9956,0.99776,0.99708,0.99532,0.99272,0.98888,0.98352,0.97216,0.9598,0.93588,0.90608,0.86484,0.81,0.73712,0.688,0.66892,0.6866,0.69176,0.70976,0.72144,0.72616,0.72968,0.73064,0.73632,0.73724,0.73552,0.73268,0.73124,0.72916,0.73532,0.7326,0.74484,0.74108,0.73988,0.74276,0.73572,0.7338,0.73636,0.73092,0.7374,0.73512,0.7394,0.73992,0.73368,0.73324,0.73048,0.73348,0.71792,0.71256,
100,1251,0.99604,0.9978,0.99688,0.99528,0.9924,0.99016,0.9832,0.97596,0.9618,0.94608,0.91608,0.8778,0.82664,0.76092,0.69812,0.6754,0.68216,0.69448,0.70992,0.71804,0.7332,0.73464,0.73004,0.73992,0.74084,0.7332,0.74276,0.7428,0.74444,0.73456,0.73344,0.738,0.73684,0.73836,0.73856,0.73928,0.7366,0.74236,0.73412,0.73672,0.73684,0.74264,0.73824,0.73864,0.73656,0.74136,0.73404,0.72492,0.71408,
100,1252,0.99684,0.99812,0.99668,0.99516,0.99156,0.98956,0.98168,0.97512,0.95828,0.93836,0.90936,0.8642,0.80896,0.74604,0.69028,0.6794,0.67476,0.69396,0.70436,0.71936,0.72636,0.73236,0.73084,0.73064,0.73396,0.73816,0.73564,0.74232,0.73976,0.73408,0.73752,0.7384,0.73504,0.73408,0.73628,0.73632,0.7368,0.73568,0.7368,0.74164,0.74116,0.74072,0.73456,0.73704,0.7312,0.7302,0.73116,0.71912,0.70152,
100,1253,0.99584,0.99748,0.99684,0.99476,0.99228,0.98816,0.98344,0.97436,0.96152,0.93812,0.91148,0.87088,0.80644,0.74428,0.67908,0.67004,0.68312,0.69964,0.71472,0.7174,0.727,0.72784,0.73408,0.72932,0.73472,0.73696,0.73864,0.73352,0.74112,0.73776,0.7414,0.74004,0.7434,0.73324,0.743,0.74068,0.73504,0.74136,0.74008,0.74268,0.73992,0.74332,0.74368,0.73544,0.737,0.7352,0.7322,0.72444,0.71452,
100,1254,0.99612,0.99808,0.9962,0.99524,0.99276,0.9886,0.98276,0.97268,0.96028,0.93836,0.90776,0.86656,0.81188,0.739,0.68096,0.67128,0.6826,0.70928,0.71776,0.72316,0.72148,0.72416,0.73124,0.73308,0.7404,0.73644,0.74112,0.73788,0.73448,0.738,0.74004,0.73944,0.73532,0.73796,0.7376,0.74212,0.73712,0.7366,0.73912,0.74112,0.74096,0.74284,0.74024,0.73884,0.73256,0.73864,0.73324,0.7224,0.71612,
100,1255,0.99556,0.99772,0.99708,0.99496,0.99148,0.98924,0.98224,0.97504,0.95812,0.941,0.91044,0.8626,0.80848,0.74152,0.67604,0.66824,0.68016,0.70608,0.71612,0.72532,0.7352,0.73372,0.73904,0.74224,0.74104,0.73932,0.73772,0.741,0.73856,0.7424,0.74516,0.74312,0.73752,0.73768,0.7372,0.74092,0.73688,0.73844,0.7462,0.74188,0.74408,0.74008,0.74088,0.73716,0.73244,0.73896,0.73328,0.72804,0.71336,
100,1256,0.99524,0.99808,0.99656,0.9952,0.99212,0.98732,0.98108,0.97148,0.95896,0.93492,0.90148,0.85336,0.78904,0.71952,0.66932,0.67248,0.68564,0.7146,0.72112,0.72772,0.726,0.73508,0.73828,0.73584,0.73504,0.73236,0.73416,0.74064,0.73856,0.73472,0.74,0.73904,0.74128,0.73988,0.74288,0.73956,0.74204,0.73576,0.73948,0.73948,0.74024,0.73388,0.73876,0.73576,0.7324,0.72928,0.73824,0.72756,0.71072,
100,1257,0.99524,0.99796,0.99696,0.99472,0.99244,0.98812,0.98384,0.97448,0.95804,0.93472,0.90404,0.85776,0.79112,0.72524,0.67072,0.67108,0.67936,0.69972,0.71704,0.72268,0.72916,0.73208,0.73472,0.7396,0.7372,0.73648,0.73748,0.73216,0.74344,0.74224,0.73448,0.7378,0.73948,0.73996,0.73856,0.73716,0.73432,0.73792,0.73916,0.74176,0.73736,0.74116,0.74048,0.7394,0.73812,0.73836,0.7316,0.72228,0.71684,
100,1258,0.99536,0.99772,0.99656,0.99476,0.99224,0.98836,0.9818,0.9746,0.95936,0.93904,0.91172,0.86788,0.80756,0.73436,0.68812,0.66692,0.6718,0.70252,0.712,0.71924,0.73008,0.7304,0.73128,0.73412,0.73644,0.74192,0.73976,0.73972,0.738,0.74108,0.73552,0.7304,0.74332,0.745,0.7416,0.73508,0.73764,0.74388,0.74072,0.7414,0.74384,0.74028,0.74212,0.73308,0.741,0.73588,0.73296,0.72932,0.71892,
100,1259,0.99564,0.99768,0.99752,0.99544,0.9928,0.98816,0.97976,0.97124,0.9534,0.92776,0.89148,0.8338,0.75124,0.66704,0.63676,0.67224,0.70852,0.7392,0.74892,0.76364,0.76296,0.76244,0.7594,0.75424,0.7468,0.733,0.73376,0.74024,0.73288,0.7358,0.74244,0.73696,0.7382,0.73944,0.74004,0.73728,0.73528,0.73852,0.74084,0.7418,0.73988,0.7442,0.7358,0.73064,0.73248,0.73696,0.7304,0.72088,0.7154,
