mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
7800,0.995641,0.997692,0.996154,0.996154,0.995128,0.990513,0.98359,0.978974,0.964615,0.946154,0.915128,0.873846,0.84641,0.754615,0.710769,0.66359,0.687949,0.664359,0.67359,0.677692,0.697179,0.717436,0.721026,0.722051,0.714103,0.707949,0.706667,0.710513,0.718974,0.724615,0.731795,0.721026,0.708718,0.709487,0.723077,0.720256,0.722821,0.722051,0.725897,0.717949,0.719487,0.717692,0.737436,0.734359,0.712051,0.729744,0.717179,0.686923,0.684615,
8000,0.99525,0.99775,0.99575,0.99575,0.995,0.99025,0.984,0.97825,0.964,0.94475,0.914,0.87275,0.84475,0.7555,0.70975,0.665,0.6865,0.66625,0.67125,0.67875,0.698,0.71825,0.72275,0.7235,0.714,0.70875,0.7095,0.71125,0.7195,0.72575,0.72925,0.72125,0.711,0.7115,0.7225,0.7205,0.72175,0.72275,0.725,0.71725,0.7185,0.7185,0.7355,0.73275,0.71425,0.7295,0.7175,0.68825,0.68475,
8200,0.995122,0.997805,0.99561,0.995854,0.994878,0.990488,0.984146,0.978293,0.963902,0.94439,0.914146,0.872439,0.843659,0.75561,0.70878,0.665122,0.687073,0.667561,0.673902,0.679024,0.695854,0.718293,0.721463,0.723659,0.713171,0.709268,0.710488,0.713415,0.721707,0.726098,0.728537,0.721463,0.71,0.711707,0.721463,0.720976,0.722439,0.723902,0.726585,0.717805,0.715854,0.718537,0.737805,0.733659,0.713902,0.729268,0.716098,0.689756,0.684878,
8400,0.995238,0.997857,0.995476,0.995476,0.994762,0.990714,0.984286,0.97881,0.963571,0.945,0.914286,0.872143,0.843571,0.755714,0.707381,0.665714,0.685476,0.67,0.675714,0.680238,0.697619,0.720952,0.722381,0.723095,0.713095,0.707381,0.711667,0.715714,0.722143,0.725,0.72881,0.720476,0.712381,0.713333,0.722619,0.719762,0.723571,0.72381,0.727381,0.71881,0.71619,0.717619,0.736667,0.732619,0.715714,0.730476,0.715952,0.690952,0.684524,
8600,0.995349,0.997907,0.995581,0.995581,0.994884,0.990698,0.984651,0.978837,0.963256,0.945814,0.913953,0.870698,0.843023,0.752093,0.707674,0.666047,0.683488,0.670698,0.676977,0.679767,0.699535,0.722558,0.721395,0.723256,0.714884,0.708837,0.71093,0.717209,0.719767,0.727674,0.728372,0.72186,0.712326,0.713953,0.723488,0.72093,0.723953,0.723023,0.727674,0.719302,0.717674,0.717209,0.735349,0.733953,0.718372,0.730465,0.716744,0.69093,0.684419,
8800,0.995,0.997955,0.995455,0.995682,0.994773,0.990455,0.984773,0.978864,0.962727,0.946364,0.913864,0.871136,0.842955,0.750455,0.706818,0.665682,0.684773,0.672273,0.679773,0.679773,0.698636,0.722273,0.72,0.725455,0.716818,0.708864,0.711818,0.719091,0.719545,0.727273,0.727727,0.723864,0.713409,0.715227,0.725455,0.719545,0.720682,0.723864,0.7275,0.720455,0.719545,0.717955,0.733409,0.733409,0.719545,0.732955,0.718864,0.691136,0.683864,
9000,0.995111,0.998,0.995556,0.995556,0.994889,0.990444,0.985111,0.978222,0.962222,0.945333,0.914889,0.870444,0.841556,0.751556,0.705556,0.666889,0.685778,0.672889,0.680889,0.679333,0.700889,0.722889,0.72,0.726444,0.72,0.710889,0.709111,0.72,0.72,0.727556,0.727556,0.723778,0.712667,0.717778,0.728,0.72,0.720222,0.725333,0.726667,0.720889,0.718889,0.719333,0.733333,0.735111,0.72,0.733333,0.718889,0.692,0.684667,
9200,0.995217,0.998043,0.995652,0.995435,0.995,0.990652,0.985435,0.978478,0.962826,0.945435,0.915435,0.868261,0.841522,0.751522,0.705217,0.668261,0.683913,0.669565,0.682391,0.681957,0.70413,0.724783,0.72,0.726087,0.721522,0.709565,0.709783,0.721739,0.722174,0.728261,0.726739,0.722609,0.714783,0.718261,0.728696,0.718478,0.721957,0.727391,0.726304,0.720652,0.717391,0.718043,0.733043,0.735,0.721087,0.733043,0.719348,0.692174,0.684783,
9400,0.995319,0.998085,0.995745,0.995319,0.995106,0.990638,0.984894,0.978723,0.962128,0.945745,0.915532,0.868936,0.838723,0.751702,0.704468,0.669574,0.682979,0.670851,0.684255,0.68234,0.705319,0.724894,0.719787,0.727872,0.720638,0.710213,0.711489,0.720851,0.723191,0.728723,0.727447,0.721489,0.715745,0.719362,0.729149,0.718936,0.720213,0.727021,0.72766,0.720213,0.718511,0.719362,0.733404,0.73617,0.72,0.731915,0.722128,0.691702,0.685106,
9600,0.995417,0.997917,0.995625,0.995417,0.995,0.99,0.985208,0.978958,0.961458,0.945625,0.916458,0.869167,0.837292,0.753125,0.706042,0.671667,0.677083,0.671667,0.684583,0.683958,0.705417,0.725417,0.720833,0.728125,0.720417,0.709583,0.711458,0.721458,0.722708,0.727708,0.727708,0.720208,0.715417,0.721458,0.729375,0.719375,0.721042,0.723958,0.7275,0.721042,0.718958,0.72125,0.731875,0.73375,0.721875,0.730625,0.721667,0.69375,0.686667,
9800,0.995306,0.997959,0.995714,0.99551,0.994898,0.99,0.984898,0.979184,0.962041,0.945714,0.916735,0.868163,0.835102,0.752857,0.708163,0.671429,0.677959,0.671429,0.685918,0.684898,0.705918,0.725306,0.723469,0.726939,0.72102,0.710816,0.713673,0.722653,0.723673,0.728367,0.726939,0.720408,0.71551,0.722653,0.730408,0.719184,0.722245,0.724898,0.728571,0.723265,0.719184,0.722857,0.731837,0.732653,0.721837,0.728776,0.722245,0.694286,0.687143,
10000,0.9952,0.998,0.9956,0.9956,0.995,0.9902,0.9842,0.9782,0.9624,0.9452,0.9174,0.8688,0.8352,0.7526,0.7066,0.6702,0.6788,0.6724,0.6854,0.6856,0.7068,0.7268,0.7246,0.7272,0.7214,0.7118,0.7148,0.7212,0.7222,0.7274,0.7264,0.7206,0.716,0.724,0.7302,0.7198,0.7214,0.724,0.7276,0.7236,0.7196,0.7244,0.7336,0.733,0.7234,0.7304,0.7224,0.695,0.6876,
